id	url
S-095	https://www.industrydocuments.ucsf.edu/docs/qgpn0067
S-096	https://multinationalmonitor.org/hyper/issues/1992/01/mm0192_07.html
S-097	https://truthinitiative.org/research-resources/topic/tobacco-industry-marketing
S-098	https://www.cancer.gov/about-cancer/causes-prevention/risk/tobacco/cessation-fact-sheet
S-099	https://multinationalmonitor.org/hyper/mm0192.html
S-100	https://en.wiktionary.org/wiki/gasper
S-101	https://en.wiktionary.org/wiki/fag
S-102	https://en.wiktionary.org/wiki/jones
S-103	https://whyquit.com/freedom/tell-a-newbie/tell-a-newbie-06.html
S-104	https://www.killthecan.org/additional-resources/recovery-tips-summary/
S-105	https://www.nhs.uk/live-well/quit-smoking/
S-106	https://www.manythings.org/voa/health/4023.html
S-107	https://www.quittrain.com/blogs/entry/1220-you-dont-just-get-off-the-quit-train/
S-108	https://whyquit.com/whyquit/turkeys_41.html
S-109	https://saltandlight.sg/faith/how-i-quit-smoking-by-going-cold-turkey/
